MachineNumber,machine_type_basename,FakeCountry,SiteId,SiteNumber,SiteName1,sq_hr,price_euro,type,size,overutilization,swap_up_with,swap_down_with,usageMedian,usageQ3,usageQ1,assetUti,utilization,relocated,contract,cost_negot,other_available,other_in_proximity,bigger_fit_doors,storage_closet,skills_in_team,recommendation,upgrade_to,downgrade_to,reasons,quant_underutilized,quant_overutilized
301389783,swingo 455,Netherlands,57609,2267848,Bochane,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,93.6,136.35,75.6,0.150943396,under,1,1,1,0,1,1,1,1,,,,['other_available'],1642.2,
18850,swingo 455,Finland,51726,11,Satamatoimisto,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,31.8,61.2,28.2,0.034965035,under,1,1,1,1,1,1,1,1,downgrade,,swingo 350,,1642.2,
18712,swingo 455,Finland,51718,3,Koehalli,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,78.6,84.6,66.3,0.12987013,under,1,1,1,1,1,1,1,1,downgrade,,swingo 350,,1642.2,
19599,swingo 455,Finland,52208,28,Neste Oyj/ Valvontakeskus,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,193.2,214.2,153.6,0.029411765,under,1,1,1,1,1,0,1,1,,,,['bigger_fit_doors'],1642.2,
18804,swingo 455,Finland,51727,12,Palokunta,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,0.9,2.55,0.6,0.275167785,under,0,1,1,1,1,1,1,1,downgrade,,swingo 350,,1642.2,
18710,swingo 455,Finland,51723,8,Keskuslaboratorio,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,63.6,68.4,35.4,0.096153846,under,1,1,1,1,1,1,1,1,downgrade,,swingo 350,,1642.2,
19117,swingo 455,Finland,51718,3,Koehalli,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,256.8,266.25,132.45,0.126666667,under,1,1,1,1,0,1,1,0,,,,"['other_in_proximity', 'skills_in_team']",1642.2,
18679,swingo 455,Finland,51718,3,Koehalli,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,73.8,84,66.6,0.211538462,under,1,1,1,0,0,1,1,0,,,,"['other_available', 'other_in_proximity', 'skills_in_team']",1642.2,
18849,swingo 455,Finland,51725,10,Terveysasema,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,19.2,26.4,12.6,0.088435374,under,0,1,1,1,0,1,1,1,,,,['other_in_proximity'],1642.2,
18711,swingo 455,Finland,51724,9,Lupatoimisto,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,66,68.4,23.4,0.112676056,under,1,1,1,1,0,1,1,1,,,,['other_in_proximity'],1642.2,
301359526,swingo 455,Belgium,52615,1862550,Evonik Degussa (ISS),669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,15.6,20.4,10.2,0.071428571,under,0,1,1,1,0,1,1,1,,,,['other_in_proximity'],1642.2,
301343728,swingo 455,Belgium,51990,2235701,de Kleurdoos,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,77.7,85.2,60.9,0.231292517,under,0,0,0,1,0,1,1,1,,,,"['contract', 'cost_negot', 'other_in_proximity']",1642.2,
301348034,swingo 455,Belgium,51993,1953674,ISS p/a AAK Benelux,669.9,3284.4,Walkbehind,Small,60,swingo 855 Power,swingo 350,32.4,68.4,22.8,0.26,under,0,1,1,1,0,0,1,1,,,,"['other_in_proximity', 'bigger_fit_doors']",1642.2,
